Epoch,Training Loss,Validation Loss
1,13.127333681416037,0.3859370300219609
2,0.37440008960626064,0.3493367297934671
3,0.3178845324043535,0.3249545009441865
4,0.29317509737408737,0.30620750312316114
5,0.27583763303946907,0.28991906789429167
6,0.2617287227636049,0.2795736644675589
7,0.24987218898830252,0.2734530441883283
8,0.23872170245525165,0.2664607461028629
9,0.22876681394414006,0.27172304663902674
10,0.21905825051595681,0.2631586163043976
11,0.21014531415004675,0.2567046163347032
12,0.20150694898017113,0.2531728497611152
13,0.19325235435052476,0.2596310806580079
14,0.18530032430326837,0.25326886590321857
15,0.1774882709325209,0.25015527937962456
16,0.1703917499987828,0.2478754929110535
17,0.16335475112162423,0.24413190900362455
18,0.15683099086794078,0.24950421203099765
19,0.1504099592045841,0.24958146671556
20,0.1444323453258585,0.25008845319299616
