Epoch,Training Loss,Validation Loss
1,0.5902398686017746,0.5125255268068395
2,0.4769896626415416,0.45894931883893464
3,0.4405231077620786,0.43416002587171704
4,0.41817341469346286,0.4173469939089229
5,0.40214711525351915,0.40648294410134994
6,0.38977090747621324,0.3960227888669723
7,0.3798391426022576,0.3871752718065539
8,0.3716455418044685,0.3804176449592297
9,0.3647370944789332,0.37655395838745637
10,0.35886674193846874,0.37099785975513294
11,0.3537727520402001,0.3676307499816275
12,0.34934350210173515,0.3638274954914028
13,0.34542690331969844,0.36216788076539325
14,0.34196823888653705,0.35840183812940224
15,0.3389072880880785,0.3559730154652881
16,0.33611977975891527,0.35373713975686294
17,0.3336315044570173,0.352212423263452
18,0.3313824357254213,0.3512810720867581
19,0.3293571703030513,0.3489985534941029
20,0.3275156194642059,0.34823121063729634
