Epoch,Training Loss,Validation Loss
1,2.6589344767252605,2.6890824538988944
2,2.4871187521910056,2.3348598451043805
3,2.34271786516195,2.6306209291637455
4,2.212584442256047,2.2309660374078994
5,2.0933669181215118,2.03320744604127
6,1.9869994940146423,1.840206332858811
7,1.8901779127392673,1.7312409243542923
8,1.8029032020954665,1.8400576627437886
9,1.724808048491736,1.7856579181230985
10,1.6541837022694428,1.5778255157307681
11,1.5897161859892712,1.4967329679880386
12,1.5314772893362236,1.4557523017622467
13,1.480213715720652,1.4786793207836966
14,1.4330666590671595,1.484595760867127
15,1.3902101633365338,1.4593461342509995
16,1.3528285608248154,1.3756291283664541
17,1.318398800045133,1.3870655136189909
18,1.2863898327938852,1.2985484519697663
19,1.2587067967700143,1.3622812245768359
20,1.2325784509669682,1.1961962227699083
