Epoch,Training Loss,Validation Loss
1,0.5922690702833681,0.5081110734328246
2,0.4765629838207169,0.45747834401864274
3,0.43843759979223595,0.43125828542872374
4,0.41528356196710525,0.41411560884907717
5,0.3987351786599879,0.401526627422398
6,0.3861756768293191,0.39244016066983217
7,0.37619279816089535,0.38515399149136664
8,0.3680431017959899,0.3773648953417428
9,0.3611271489319978,0.3727789078757294
10,0.35533550156813404,0.3686874270805946
11,0.350273162396613,0.36410874842986085
12,0.3458602924799308,0.36153941647007937
13,0.3420274315002637,0.35795527654631526
14,0.33861697712922706,0.3556427221828037
15,0.33559924860136464,0.3531989823589977
16,0.3328361205307507,0.3516242862970401
17,0.3304254641693202,0.34965867715411714
18,0.32817431707178424,0.34861868319348394
19,0.3261793201602762,0.34707967292956815
20,0.3243818589783802,0.3455629795005179
