Epoch,Training Loss,Validation Loss
1,0.49074188692168974,0.3913193891639383
2,0.3535913954698122,0.33127460736902353
3,0.5312097182553718,1.000002275267218
4,1.0001002479759715,1.0001098145623493
5,1.0000932443798098,1.0000186814691265
6,1.000086605988201,0.9999881651788696
7,1.0000875978056862,0.9999669586817423
8,1.000080736624889,1.0001582556830513
9,1.0000785258214357,1.000046036475744
10,1.000076495330354,1.0000738800040676
11,1.0000675797470615,1.0000771155846424
12,1.0000637694489243,1.0000030307362222
13,1.0000554384851048,1.0000460026162303
14,1.0000564813054185,1.0000275707000341
15,1.0000521154208062,0.9999892604941996
16,1.0000480481150482,0.9999670877945729
17,1.0000401761813043,0.9999543358525659
18,1.000038750278712,1.000136177874019
19,1.0000403483632623,1.0000956184843666
20,1.0000365335062358,0.9999959300685133
