Epoch,Training Loss,Validation Loss
1,0.6450668947323095,0.5727152488415058
2,0.5448556658285636,0.5283306091544975
3,0.5122883928413066,0.5074582908214667
4,0.49316894792138344,0.49530848770060093
5,0.47987327804918645,0.48233354729872485
6,0.47003108676030086,0.47490092380637794
7,0.4622381175061576,0.4692787048877814
8,0.455945925354618,0.46400062741581194
9,0.45068381883099545,0.4592900305894705
10,0.44622345191298046,0.4560988223369305
11,0.44240680413667294,0.4528810166864314
12,0.4390587610481132,0.45086641521739146
13,0.43614556853411207,0.4477309488333189
14,0.43356291196760627,0.44670496732353143
15,0.43128690726668745,0.44451052987473644
16,0.4292435801477514,0.4425012657132923
17,0.42738329388911905,0.4414921307726803
18,0.4257143027925084,0.440265790835405
19,0.4241887769000822,0.4386704104680281
20,0.42285634452243814,0.43749485850537945
